latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-6.0648,-44.69491,312.51,4.75,1.99,2023-10-07,22,Terra,MODIS,83,6.1NRT,293.67,91.85,N
-5.41023,-43.6713,303.98,3.85,1.83,2023-10-07,22,Terra,MODIS,50,6.1NRT,293.74,28.05,N
-5.3629,-43.75277,321.7,3.9,1.84,2023-10-07,22,Terra,MODIS,100,6.1NRT,293.8,126.2,N
-5.35802,-43.78242,307.96,3.92,1.84,2023-10-07,22,Terra,MODIS,69,6.1NRT,293.37,43.69,N
-5.35377,-43.74778,325.09,3.9,1.84,2023-10-07,22,Terra,MODIS,100,6.1NRT,293.7,151.23,N
-5.34661,-43.75486,308.74,3.9,1.84,2023-10-07,22,Terra,MODIS,72,6.1NRT,293.12,50.77,N
-5.28718,-41.63584,307.52,2.63,1.56,2023-10-07,22,Terra,MODIS,67,6.1NRT,296.32,19.73,N
-5.28092,-41.64333,307.91,2.63,1.56,2023-10-07,22,Terra,MODIS,69,6.1NRT,295.93,22.34,N
-4.9991,-37.1066,305.7,1.2,1.09,2023-10-07,22,Terra,MODIS,53,6.1NRT,295.21,5.49,N
-4.99764,-37.09592,311.11,1.2,1.09,2023-10-07,22,Terra,MODIS,77,6.1NRT,295.21,10.21,N
-4.90647,-44.38888,302.57,4.31,1.92,2023-10-07,22,Terra,MODIS,13,6.1NRT,289.26,22,N
-4.90182,-44.35159,373.88,4.28,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,296.58,1045.21,N
-4.89797,-44.35862,375.8,4.28,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,296.5,1102.72,N
-4.89714,-44.31409,393.87,4.25,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,298.18,1751.34,N
-4.89306,-44.32126,412.94,4.25,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,300.59,2733.92,N
-4.88488,-44.35365,374.34,4.28,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,296.15,1057.91,N
-4.88155,-43.21537,308.11,3.47,1.75,2023-10-07,22,Terra,MODIS,69,6.1NRT,294.21,34.78,N
-4.88104,-44.36077,322.32,4.28,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,294.59,145.67,N
-4.88033,-44.31675,361.24,4.25,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,295.3,705.31,N
-4.87624,-44.32386,321.13,4.25,1.91,2023-10-07,22,Terra,MODIS,100,6.1NRT,294.34,133.07,N
-4.87044,-43.22211,310.33,3.47,1.75,2023-10-07,22,Terra,MODIS,77,6.1NRT,294.08,43.75,N
-4.86632,-43.19167,307.35,3.45,1.75,2023-10-07,22,Terra,MODIS,67,6.1NRT,294.4,30.67,N
-4.86604,-43.21752,306.3,3.47,1.75,2023-10-07,22,Terra,MODIS,62,6.1NRT,294.12,27.02,N
-4.76478,-43.59518,306.25,3.71,1.8,2023-10-07,22,Terra,MODIS,63,6.1NRT,294.69,29.1,N
-4.65779,-43.78944,309.19,3.82,1.83,2023-10-07,22,Terra,MODIS,74,6.1NRT,293.66,51.04,N
-4.64927,-43.78321,308.26,3.82,1.83,2023-10-07,22,Terra,MODIS,71,6.1NRT,293.66,45.73,N
-4.64341,-41.1802,309.09,2.36,1.48,2023-10-07,22,Terra,MODIS,57,6.1NRT,296.87,18.24,N
-4.62264,-41.22566,307.69,2.38,1.49,2023-10-07,22,Terra,MODIS,9,6.1NRT,297.16,15.36,N
-4.61828,-44.29898,304.29,4.19,1.9,2023-10-07,22,Terra,MODIS,52,6.1NRT,293.17,29.05,N
-4.61066,-44.33313,307.39,4.22,1.9,2023-10-07,22,Terra,MODIS,68,6.1NRT,293.31,43.83,N
-4.60604,-44.29601,304.88,4.19,1.9,2023-10-07,22,Terra,MODIS,57,6.1NRT,293.04,30.83,N
-4.1783,-44.27577,305.07,4.11,1.88,2023-10-07,22,Terra,MODIS,57,6.1NRT,293.36,29.19,N
-3.57405,-38.86418,304.65,1.5,1.21,2023-10-07,22,Terra,MODIS,61,6.1NRT,291.12,7.98,N
-3.50247,-44.22639,303.9,3.97,1.85,2023-10-07,22,Terra,MODIS,51,6.1NRT,292.62,27.82,N
35.33311,138.77579,301.2,1.05,1.02,2023-10-07,102,Terra,MODIS,0,6.1NRT,286.78,5.45,D
35.35032,139.87059,310.98,1,1,2023-10-07,102,Terra,MODIS,0,6.1NRT,298.03,5.76,D
35.93483,140.68228,323.7,1,1,2023-10-07,102,Terra,MODIS,0,6.1NRT,302.47,15.37,D
27.24384,140.87909,316.5,1.16,1.07,2023-10-07,105,Terra,MODIS,66,6.1NRT,299.31,12.3,D
-2.58051,121.39421,312,4.54,1.96,2023-10-07,111,Terra,MODIS,33,6.1NRT,291.17,52.37,D
-1.45837,127.44005,316.19,1.58,1.24,2023-10-07,111,Terra,MODIS,0,6.1NRT,297.97,14.64,D
1.70683,127.88273,311.7,1.64,1.26,2023-10-07,111,Terra,MODIS,50,6.1NRT,296.7,9.62,D
-9.06159,125.46343,316.56,1.66,1.27,2023-10-07,113,Terra,MODIS,64,6.1NRT,301.08,12.35,D
-8.23262,124.07834,313.57,2.19,1.44,2023-10-07,113,Terra,MODIS,58,6.1NRT,300.36,26.73,D
-3.87253,122.41113,314.71,3.57,1.77,2023-10-07,113,Terra,MODIS,52,6.1NRT,295.34,48.64,D
-15.6299,136.03984,325.35,2.49,1.52,2023-10-07,115,Terra,MODIS,60,6.1NRT,308.65,35.66,D
-15.62226,136.04726,323.32,2.49,1.52,2023-10-07,115,Terra,MODIS,57,6.1NRT,308.63,27.39,D
-15.61452,135.97917,327.65,2.46,1.51,2023-10-07,115,Terra,MODIS,74,6.1NRT,308.73,48.71,D
-14.46021,129.65385,326,1.01,1,2023-10-07,115,Terra,MODIS,63,6.1NRT,310.96,8.48,D
-14.19593,132.07176,327.23,1.23,1.1,2023-10-07,115,Terra,MODIS,74,6.1NRT,309.67,15.28,D
